2020-12-02 19:01:31,Udh 3hari ni sahabat gangguan gmn ya @indihome,fariswdnt
2020-12-02 18:52:02,"@IndiHome Punten mamank, indihome area pekalongan timur masih trouble? Apa gimana?",muhandreardi
2020-12-02 18:44:04,"@IndiHome permisi nih ya, ini internet di makassar daerah alauddin, 2 hari kambuh2an nih losnya. Maintenence? Maint… https://t.co/GQ5IDNamC9",zikrullah98
2020-12-02 18:31:42,Min @IndiHome wifi rumah kok mati gini ada gangguan kah? Mohon tindakannya https://t.co/4PU5dJnHzZ,takology21
2020-12-02 18:30:49,Halo @IndiHome kenapa malam malam PON nya merah ya? Kan jadi internet nya mati dan saya ga bisa ngerjain tugas dong?,ibraditya
2020-12-02 18:29:40,"Halo @IndiHome, sudah lebih dari 48 jam nih, sudah lebih dari estimasi. Segera proses keluhan saya di dm ya.",andriyayoy
2020-12-02 18:25:22,@_mardial_ @IndiHome botnya ga paham,fvckri
2020-12-02 18:24:22,"@IndiHome baca DM ku atau aku akan berteriak seperti kesurupan 😠😠😠😠😠. canda kesurupan, pokoknya baca DM )):",90sbutterflys
2020-12-02 18:16:38,@_mardial_ @IndiHome Gc cek bngst @IndiHome,nicolseptian
2020-12-02 18:16:11,GUE PINDAH RUMAH GABAKAL GUE PAKE WIFI GEMBEL DARI @IndiHome LAGI,daffaadrianto14
2020-12-02 18:15:30,"@RitaSopiana @IndiHome Telpon itu suka disuruh tunggu dengan alasan FUP Reset atau Reset Koneksi.
Bisa makan waktu… https://t.co/mPHRzb2bvF",njisamsoe
2020-12-02 18:15:27,@_mardial_ @IndiHome SABAR WKWKWKWK,FackingFriday
2020-12-02 18:14:25,@IndiHome pls lah nanti pagi gue ujian. jangan berulah astaga.,90sbutterflys
2020-12-02 18:13:05,"@njisamsoe @IndiHome Telp langsung aja bang, lebih cepet penanganannya.",RitaSopiana
2020-12-02 18:12:49,permisi @IndiHome please jangan berulah nanti aku mau pas🙁🙁🤌,skyoonbin
2020-12-02 18:12:19,"@_mardial_ @IndiHome Pagi sobat, mengenai perihal tersebut langkah awal mamang sarankan untuk restart modem di loka… https://t.co/4KJvjmbysr",Fahrizaal_
2020-12-02 18:10:50,@IndiHome kenapa tagihan saya 490rb sedangkan kalau pasang baru dengan paket yg sama cuma 360rb 😐 apa perlu cabut t… https://t.co/ED4SPfjW9Z,deddyika
